Array Size,Array Type,Bubble Sort,Selection Sort,Insertion Sort
1,Random,5.33E-07,7.33E-07,7.00E-07
2,Random,6.33E-07,6.00E-07,6.00E-07
3,Random,6.67E-07,5.33E-07,6.67E-07
4,Random,7.00E-07,6.00E-07,5.67E-07
5,Random,6.67E-07,6.67E-07,9.33E-07
6,Random,7.67E-07,7.67E-07,6.00E-07
7,Random,7.00E-07,7.33E-07,8.67E-07
8,Random,9.00E-07,1.07E-06,7.00E-07
9,Random,1.53E-06,1.07E-06,9.33E-07
10,Random,1.13E-06,1.00E-06,9.33E-07
11,Random,1.80E-06,1.10E-06,9.67E-07
12,Random,1.40E-06,1.17E-06,9.67E-07
13,Random,1.57E-06,1.53E-06,1.03E-06
14,Random,1.43E-06,1.20E-06,1.00E-06
15,Random,1.57E-06,1.40E-06,1.23E-06
16,Random,1.90E-06,2.70E-06,1.30E-06
17,Random,2.23E-06,1.60E-06,1.30E-06
18,Random,2.17E-06,1.57E-06,1.93E-06
19,Random,2.13E-06,1.80E-06,1.23E-06
20,Random,2.40E-06,1.70E-06,1.80E-06
21,Random,2.60E-06,1.97E-06,1.47E-06
22,Random,2.47E-06,1.90E-06,1.43E-06
23,Random,2.87E-06,2.27E-06,1.67E-06
24,Random,3.17E-06,2.30E-06,1.47E-06
25,Random,7.10E-06,2.50E-06,2.23E-06
26,Random,4.10E-06,2.97E-06,1.77E-06
27,Random,3.20E-06,2.43E-06,1.57E-06
28,Random,4.27E-06,2.67E-06,1.87E-06
29,Random,3.73E-06,2.80E-06,1.93E-06
30,Random,4.17E-06,2.77E-06,1.93E-06
1,Sorted,6.67E-07,1.23E-06,6.67E-07
2,Sorted,6.67E-07,7.00E-07,8.00E-07
3,Sorted,6.33E-07,6.67E-07,6.67E-07
4,Sorted,7.67E-07,6.33E-07,7.33E-07
5,Sorted,8.67E-07,7.67E-07,7.67E-07
6,Sorted,9.00E-07,8.33E-07,7.00E-07
7,Sorted,1.00E-06,8.33E-07,8.00E-07
8,Sorted,8.33E-07,8.00E-07,7.00E-07
9,Sorted,7.00E-07,7.33E-07,1.10E-06
10,Sorted,8.67E-07,7.00E-07,7.67E-07
11,Sorted,7.67E-07,8.33E-07,7.67E-07
12,Sorted,8.67E-07,9.33E-07,8.67E-07
13,Sorted,1.37E-06,9.00E-07,8.00E-07
14,Sorted,8.33E-07,8.00E-07,5.67E-07
15,Sorted,7.33E-07,7.33E-07,5.33E-07
16,Sorted,9.00E-07,9.67E-07,8.33E-07
17,Sorted,8.00E-07,8.00E-07,6.00E-07
18,Sorted,8.33E-07,8.67E-07,4.67E-07
19,Sorted,8.67E-07,9.00E-07,5.67E-07
20,Sorted,1.63E-06,1.07E-06,7.67E-07
21,Sorted,1.23E-06,1.30E-06,7.33E-07
22,Sorted,1.67E-06,1.17E-06,6.67E-07
23,Sorted,1.60E-06,1.33E-06,6.67E-07
24,Sorted,1.13E-06,1.07E-06,6.00E-07
25,Sorted,1.20E-06,1.70E-06,6.33E-07
26,Sorted,1.30E-06,1.80E-06,6.67E-07
27,Sorted,1.73E-06,1.60E-06,8.00E-07
28,Sorted,1.90E-06,1.83E-06,7.33E-07
29,Sorted,1.50E-06,1.43E-06,5.67E-07
30,Sorted,1.53E-06,1.53E-06,6.67E-07
1,Reverse Sorted,1.10E-06,6.33E-07,6.00E-07
2,Reverse Sorted,5.33E-07,5.33E-07,5.67E-07
3,Reverse Sorted,5.00E-07,6.67E-07,6.67E-07
4,Reverse Sorted,9.67E-07,6.33E-07,7.67E-07
5,Reverse Sorted,1.13E-06,7.00E-07,6.67E-07
6,Reverse Sorted,7.33E-07,7.67E-07,7.67E-07
7,Reverse Sorted,7.33E-07,7.67E-07,7.33E-07
8,Reverse Sorted,8.67E-07,9.67E-07,8.00E-07
9,Reverse Sorted,1.20E-06,8.00E-07,1.27E-06
10,Reverse Sorted,1.20E-06,6.67E-07,1.07E-06
11,Reverse Sorted,1.13E-06,7.33E-07,1.00E-06
12,Reverse Sorted,1.13E-06,9.67E-07,9.67E-07
13,Reverse Sorted,1.50E-06,1.00E-06,2.50E-06
14,Reverse Sorted,1.90E-06,1.07E-06,1.00E-06
15,Reverse Sorted,1.70E-06,1.10E-06,1.17E-06
16,Reverse Sorted,1.83E-06,1.07E-06,1.27E-06
17,Reverse Sorted,2.00E-06,1.27E-06,1.23E-06
18,Reverse Sorted,2.10E-06,1.23E-06,1.33E-06
19,Reverse Sorted,2.30E-06,1.33E-06,1.27E-06
20,Reverse Sorted,2.30E-06,1.33E-06,1.30E-06
21,Reverse Sorted,2.23E-06,1.03E-06,1.57E-06
22,Reverse Sorted,1.70E-06,1.17E-06,1.67E-06
23,Reverse Sorted,2.83E-06,1.37E-06,1.37E-06
24,Reverse Sorted,2.60E-06,1.27E-06,1.60E-06
25,Reverse Sorted,3.67E-06,1.43E-06,1.97E-06
26,Reverse Sorted,4.00E-06,1.67E-06,2.17E-06
27,Reverse Sorted,3.67E-06,1.80E-06,2.27E-06
28,Reverse Sorted,3.70E-06,1.73E-06,2.63E-06
29,Reverse Sorted,4.00E-06,2.60E-06,2.27E-06
30,Reverse Sorted,3.40E-06,1.83E-06,2.50E-06
